segmento,valor,clientes,ranking,shopping,sigla
Moda,7347357.04,11848,1,Norte Shopping,NR
Eletrodomésticos,6062212.32,5249,2,Norte Shopping,NR
Casa e Decoração,4796259.5,7136,3,Norte Shopping,NR
Calçados,3015769.93,6907,4,Norte Shopping,NR
Beleza e Bem-estar,2968599.76,8202,5,Norte Shopping,NR
Eletrônicos,2928618.14,1414,6,Norte Shopping,NR
Supermercado,2492133.0,4407,7,Norte Shopping,NR
Esportes,2248573.06,4662,8,Norte Shopping,NR
Telefonia,2042895.16,1067,9,Norte Shopping,NR
Serviços,1895752.43,2707,10,Norte Shopping,NR
