quantil,recencia_dias,frequencia,valor_periodo,escopo
20%,79.0,1.0,252.08800000000005,Garten Shopping
40%,81.0,2.0,451.97200000000004,Garten Shopping
60%,84.0,3.0,766.0999999999999,Garten Shopping
80%,86.0,5.0,1340.914,Garten Shopping
20%,79.0,1.0,189.89,Norte Shopping
40%,80.0,2.0,367.81200000000007,Norte Shopping
60%,84.0,3.0,635.23,Norte Shopping
80%,86.0,5.0,1149.6600000000003,Norte Shopping
20%,68.0,1.0,65.986,Nações Shopping
40%,74.0,2.0,192.776,Nações Shopping
60%,78.0,2.0,392.04,Nações Shopping
80%,82.0,4.0,851.82,Nações Shopping
20%,79.0,1.0,242.708,Continente Shopping
40%,81.0,2.0,421.39400000000006,Continente Shopping
60%,84.0,3.0,719.086,Continente Shopping
80%,86.0,5.0,1303.296,Continente Shopping
20%,79.0,1.0,349.04,Balneário Shopping
40%,81.0,2.0,649.646,Balneário Shopping
60%,84.0,3.0,1119.97,Balneário Shopping
80%,86.0,5.0,2176.1140000000005,Balneário Shopping
20%,79.0,1.0,226.978,Neumarkt Shopping
40%,80.0,2.0,437.176,Neumarkt Shopping
60%,83.0,3.0,754.554,Neumarkt Shopping
80%,86.0,6.0,1419.7680000000005,Neumarkt Shopping
